20080218 00:00,1.468545,1.469045,1.46106,1.466225
20080219 00:00,1.466255,1.47569,1.466095,1.471945
20080220 00:00,1.47185,1.47327,1.461445,1.471445
20080221 00:00,1.47147,1.483795,1.47025,1.480245
20080222 00:00,1.48027,1.486315,1.479245,1.48307
20080224 00:00,1.483945,1.484095,1.481145,1.481255
20080225 00:00,1.48128,1.484465,1.47946,1.482645
20080226 00:00,1.482655,1.504795,1.477795,1.499545
20080227 00:00,1.499505,1.51438,1.49926,1.51125
20080228 00:00,1.511245,1.522965,1.507355,1.517795
20080229 00:00,1.51782,1.52392,1.514355,1.518045
20080302 00:00,1.519495,1.522525,1.51865,1.520545
20080303 00:00,1.52046,1.527625,1.51575,1.51832
20080304 00:00,1.518395,1.52492,1.51734,1.519445
20080305 00:00,1.519395,1.530225,1.514545,1.527705
20080306 00:00,1.527735,1.53956,1.527735,1.538195
20080307 00:00,1.538145,1.546065,1.531445,1.534675
20080309 00:00,1.536295,1.540395,1.535845,1.538445
20080310 00:00,1.538495,1.54013,1.531245,1.536445
20080311 00:00,1.536435,1.54956,1.52825,1.536145
20080312 00:00,1.53615,1.558695,1.535245,1.556595
20080313 00:00,1.55655,1.564505,1.553595,1.560095
20080314 00:00,1.5601,1.568845,1.553245,1.56704
20080316 00:00,1.567645,1.590405,1.56752,1.58453
20080317 00:00,1.584505,1.58579,1.568645,1.578645
20080318 00:00,1.578585,1.583235,1.561395,1.568665
20080319 00:00,1.56865,1.578545,1.556845,1.559735
20080320 00:00,1.55973,1.56083,1.53969,1.541845
20080321 00:00,1.541845,1.547245,1.54169,1.543855
20080323 00:00,1.543945,1.543945,1.53415,1.535045
20080324 00:00,1.535065,1.55693,1.53489,1.555745
20080325 00:00,1.555695,1.565845,1.552555,1.56336
20080326 00:00,1.563345,1.58583,1.558375,1.581485
20080327 00:00,1.58141,1.58274,1.57265,1.579385
20080328 00:00,1.57941,1.583895,1.574155,1.580475
20080330 00:00,1.580195,1.581705,1.57596,1.580135
20080331 00:00,1.580205,1.589635,1.57483,1.577545
20080401 00:00,1.57756,1.57814,1.55635,1.560165
20080402 00:00,1.560205,1.570195,1.553295,1.564445
20080403 00:00,1.564485,1.568535,1.551055,1.565445
20080404 00:00,1.56542,1.577325,1.565345,1.573045
20080406 00:00,1.573145,1.573745,1.565045,1.566945
20080407 00:00,1.566955,1.579845,1.562745,1.575445
20080408 00:00,1.575485,1.57773,1.56735,1.570395
20080409 00:00,1.57044,1.586495,1.56994,1.584345
20080410 00:00,1.58437,1.591325,1.572545,1.577255
20080411 00:00,1.57732,1.585545,1.575535,1.58278
20080413 00:00,1.569595,1.572985,1.567125,1.571595
20080414 00:00,1.571555,1.588645,1.569595,1.582645
20080415 00:00,1.582695,1.587515,1.575135,1.578645
20080416 00:00,1.578685,1.597925,1.578685,1.59485
20080417 00:00,1.594905,1.598355,1.58466,1.589945
20080418 00:00,1.58994,1.59561,1.57116,1.58092
20080420 00:00,1.580495,1.583515,1.57963,1.58294
20080421 00:00,1.58293,1.59476,1.579185,1.591465
20080422 00:00,1.591445,1.60191,1.58348,1.59914
20080423 00:00,1.599155,1.59981,1.58337,1.5847
20080424 00:00,1.58472,1.58723,1.563825,1.56924
20080425 00:00,1.569275,1.57016,1.55553,1.559365
20080427 00:00,1.561095,1.564645,1.55933,1.56401
20080428 00:00,1.56399,1.56932,1.55966,1.56528
20080429 00:00,1.56527,1.56592,1.55404,1.55735
20080430 00:00,1.557345,1.564415,1.551775,1.56363
20080501 00:00,1.563605,1.564255,1.543055,1.544995
20080502 00:00,1.54496,1.54976,1.536055,1.54131
20080504 00:00,1.543645,1.547725,1.54235,1.54708
20080505 00:00,1.547035,1.55356,1.54265,1.552385
